"site_ID","survey_no","species","n","area_m2","area_ha_drone","naive_dens","p","N","den_adj","survey"
"Castella",1,"CRP",12,1177237.95389901,118,0.101694915254237,0.79,15.1898734177215,0.128727740828148,"coupe"
"Coliban",1,"CRP",49,814624.640887811,81,0.604938271604938,0.79,62.0253164556962,0.765744647601188,"coupe"
"Gags",1,"CRP",24,1233580.95288677,123,0.195121951219512,0.79,30.379746835443,0.246989811670269,"coupe"
"Ginters",1,"CRP",61,1390479.03242748,139,0.438848920863309,0.79,77.2151898734177,0.555504963118113,"coupe"
"Ginters",2,"CRP",60,1390479.03242748,139,0.431654676258993,0.79,75.9493670886076,0.546398324378472,"coupe"
"Kinglake",1,"CRP",1,391159.906496085,39,0.0256410256410256,0.79,1.26582278481013,0.0324569944823109,"coupe"
"Mash",1,"CRP",19,403246.133977704,40,0.475,0.79,24.0506329113924,0.60126582278481,"coupe"
"Mohican_1",1,"CRP",17,611518.965525011,61,0.278688524590164,0.79,21.5189873417721,0.352770284291347,"coupe"
"Mohican_1",2,"CRP",14,611518.965525011,61,0.229508196721311,0.79,17.7215189873418,0.290516704710521,"coupe"
"Mohican_2",1,"CRP",20,936167.37645598,94,0.212765957446809,0.79,25.3164556962025,0.269323996768112,"coupe"
"Mohican_2",2,"CRP",32,936167.37645598,94,0.340425531914894,0.79,40.506329113924,0.430918394828979,"coupe"
"Mohican_3",1,"CRP",13,424271.559676007,42,0.30952380952381,0.79,16.4556962025316,0.391802290536468,"coupe"
"Mohican_3",2,"CRP",66,424271.559676007,42,1.57142857142857,0.79,83.5443037974683,1.98915009041591,"coupe"
"Mohican_3",3,"CRP",21,424271.559676007,42,0.5,0.79,26.5822784810127,0.632911392405063,"coupe"
"Murrindindi",1,"CRP",8,872824.6878987,87,0.0919540229885057,0.79,10.126582278481,0.116397497453805,"coupe"
"Murrindindi",2,"CRP",3,872824.6878987,87,0.0344827586206897,0.79,3.79746835443038,0.0436490615451768,"coupe"
"Narbethong",1,"CRP",7,742568.394799427,74,0.0945945945945946,0.79,8.86075949367089,0.119739993157715,"coupe"
"Narbethong",2,"CRP",13,742568.394799427,74,0.175675675675676,0.79,16.4556962025316,0.222374273007184,"coupe"
"Narbethong",3,"CRP",12,742568.394799427,74,0.162162162162162,0.79,15.1898734177215,0.205268559698939,"coupe"
"Osborne",1,"CRP",32,566248.511658307,57,0.56140350877193,0.79,40.506329113924,0.71063735287586,"coupe"
"Quodpod",1,"CRP",69,834349.559783832,83,0.831325301204819,0.79,87.3417721518987,1.0523105078542,"coupe"
"Quodpod",2,"CRP",146,834349.559783832,83,1.75903614457831,0.79,184.810126582278,2.22662803111179,"coupe"
"Tarrango",1,"CRP",1,912105.371990504,91,0.010989010989011,0.79,1.26582278481013,0.013910140492419,"coupe"
"Troop",1,"CRP",3,288889.13532078,29,0.103448275862069,0.79,3.79746835443038,0.13094718463553,"coupe"
"Troop",2,"CRP",3,288889.13532078,29,0.103448275862069,0.79,3.79746835443038,0.13094718463553,"coupe"
"Yellowdindi",1,"CRP",14,1216531.40820845,122,0.114754098360656,0.79,17.7215189873418,0.14525835235526,"coupe"
"Yellowdindi",2,"CRP",8,1216531.40820845,122,0.0655737704918033,0.79,10.126582278481,0.0830047727744345,"coupe"
"Davis",1,"CRP",0,0,0,0,0.79,0,0,"coupe"
"299-510-0007",1,"CRP",0,0,0,0,0.79,0,0,"coupe"
"Backdoor",1,"CRP",0,0,0,0,0.79,0,0,"coupe"
"United",1,"CRP",0,0,0,0,0.79,0,0,"coupe"
"Merger",1,"CRP",0,0,0,0,0.79,0,0,"coupe"
"Alfred",1,"CRP",0,0,0,0,0.79,0,0,"coupe"
"209-502-0002",1,"CRP",2,103275.542598619,10,0.2,0.59,3.38983050847458,0.338983050847458,"3"
"297-806-0001",1,"CRP",1,104006.673845783,10,0.1,0.59,1.69491525423729,0.169491525423729,"3"
"299-944-0002",1,"CRP",5,100691.771546469,10,0.5,0.59,8.47457627118644,0.847457627118644,"3"
"300-910-0007",1,"CRP",6,131014.155148258,13,0.461538461538462,0.59,10.1694915254237,0.782268578878748,"3"
"Babbington",1,"CRP",3,120934.798885119,12,0.25,0.59,5.08474576271187,0.423728813559322,"3"
"Babbington",2,"CRP",4,120934.798885119,12,0.333333333333333,0.59,6.77966101694915,0.564971751412429,"3"
"Boola",1,"CRP",1,96246.3800631794,10,0.1,0.59,1.69491525423729,0.169491525423729,"3"
"Castella",1,"CRP",4,120287.469678733,12,0.333333333333333,0.59,6.77966101694915,0.564971751412429,"3"
"Coliban",1,"CRP",9,101049.424521907,10,0.9,0.59,15.2542372881356,1.52542372881356,"3"
"Gags",1,"CRP",1,111100.39996753,11,0.0909090909090909,0.59,1.69491525423729,0.154083204930663,"3"
"Ginters",1,"CRP",4,107605.907349438,11,0.363636363636364,0.59,6.77966101694915,0.61633281972265,"3"
"Ginters",2,"CRP",7,107605.907349438,11,0.636363636363636,0.59,11.864406779661,1.07858243451464,"3"
"Mash",1,"CRP",9,118878.591615911,12,0.75,0.59,15.2542372881356,1.27118644067797,"3"
"Mohican_1",1,"CRP",5,106065.302699034,11,0.454545454545455,0.59,8.47457627118644,0.770416024653313,"3"
"Mohican_1",2,"CRP",5,106065.302699034,11,0.454545454545455,0.59,8.47457627118644,0.770416024653313,"3"
"Mohican_2",1,"CRP",3,108668.395840924,11,0.272727272727273,0.59,5.08474576271187,0.462249614791988,"3"
"Mohican_2",2,"CRP",5,108668.395840924,11,0.454545454545455,0.59,8.47457627118644,0.770416024653313,"3"
"Mohican_3",1,"CRP",3,98215.6771234252,10,0.3,0.59,5.08474576271187,0.508474576271187,"3"
"Mohican_3",2,"CRP",9,98215.6771234252,10,0.9,0.59,15.2542372881356,1.52542372881356,"3"
"Mohican_3",3,"CRP",1,98215.6771234252,10,0.1,0.59,1.69491525423729,0.169491525423729,"3"
"Murrindindi",1,"CRP",2,105457.933917129,11,0.181818181818182,0.59,3.38983050847458,0.308166409861325,"3"
"Murrindindi",2,"CRP",1,105457.933917129,11,0.0909090909090909,0.59,1.69491525423729,0.154083204930663,"3"
"Narbethong",1,"CRP",4,108988.696226669,11,0.363636363636364,0.59,6.77966101694915,0.61633281972265,"3"
"Narbethong",2,"CRP",7,108988.696226669,11,0.636363636363636,0.59,11.864406779661,1.07858243451464,"3"
"Narbethong",3,"CRP",6,108988.696226669,11,0.545454545454545,0.59,10.1694915254237,0.924499229583975,"3"
"Osborne",1,"CRP",6,100678.12429021,10,0.6,0.59,10.1694915254237,1.01694915254237,"3"
"Quodpod",1,"CRP",8,89543.8097108806,9,0.888888888888889,0.59,13.5593220338983,1.50659133709981,"3"
"Quodpod",2,"CRP",4,89543.8097108806,9,0.444444444444444,0.59,6.77966101694915,0.753295668549906,"3"
"Yellowdindi",1,"CRP",1,121695.717251441,12,0.0833333333333333,0.59,1.69491525423729,0.141242937853107,"3"
"Canvas",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Davis",1,"CRP",0,0,0,0,0.59,0,0,"3"
"299-510-0007",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Kinglake",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Backdoor",1,"CRP",0,0,0,0,0.59,0,0,"3"
"300-503-0001",1,"CRP",0,0,0,0,0.59,0,0,"3"
"United",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Merger",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Troop",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Tarrango",1,"CRP",0,0,0,0,0.59,0,0,"3"
"Alfred",1,"CRP",0,0,0,0,0.59,0,0,"3"
"209-502-0002",1,"CRP",1,40297.7358526055,4,0.25,0.59,1.69491525423729,0.423728813559322,"1"
"297-806-0001",1,"CRP",1,49386.693470531,5,0.2,0.59,1.69491525423729,0.338983050847458,"1"
"299-944-0002",1,"CRP",1,41357.5328300761,4,0.25,0.59,1.69491525423729,0.423728813559322,"1"
"300-910-0007",1,"CRP",3,47621.686854307,5,0.6,0.59,5.08474576271187,1.01694915254237,"1"
"Babbington",1,"CRP",1,51849.5108654466,5,0.2,0.59,1.69491525423729,0.338983050847458,"1"
"Babbington",2,"CRP",1,51849.5108654466,5,0.2,0.59,1.69491525423729,0.338983050847458,"1"
"Coliban",1,"CRP",3,48844.0311647636,5,0.6,0.59,5.08474576271187,1.01694915254237,"1"
"Ginters",1,"CRP",2,42354.1305236177,4,0.5,0.59,3.38983050847458,0.847457627118644,"1"
"Ginters",2,"CRP",2,42354.1305236177,4,0.5,0.59,3.38983050847458,0.847457627118644,"1"
"Mash",1,"CRP",3,44943.6860774655,4,0.75,0.59,5.08474576271187,1.27118644067797,"1"
"Mohican_1",1,"CRP",4,42365.3596119999,4,1,0.59,6.77966101694915,1.69491525423729,"1"
"Mohican_1",2,"CRP",3,42365.3596119999,4,0.75,0.59,5.08474576271187,1.27118644067797,"1"
"Mohican_2",1,"CRP",1,38056.0710769853,4,0.25,0.59,1.69491525423729,0.423728813559322,"1"
"Mohican_2",2,"CRP",1,38056.0710769853,4,0.25,0.59,1.69491525423729,0.423728813559322,"1"
"Mohican_3",1,"CRP",4,40165.8085587904,4,1,0.59,6.77966101694915,1.69491525423729,"1"
"Mohican_3",2,"CRP",1,40165.8085587904,4,0.25,0.59,1.69491525423729,0.423728813559322,"1"
"Murrindindi",1,"CRP",2,54495.0859955362,5,0.4,0.59,3.38983050847458,0.677966101694915,"1"
"Murrindindi",2,"CRP",1,54495.0859955362,5,0.2,0.59,1.69491525423729,0.338983050847458,"1"
"Narbethong",1,"CRP",3,47319.1105015271,5,0.6,0.59,5.08474576271187,1.01694915254237,"1"
"Narbethong",2,"CRP",4,47319.1105015271,5,0.8,0.59,6.77966101694915,1.35593220338983,"1"
"Narbethong",3,"CRP",2,47319.1105015271,5,0.4,0.59,3.38983050847458,0.677966101694915,"1"
"Osborne",1,"CRP",5,49219.0367291168,5,1,0.59,8.47457627118644,1.69491525423729,"1"
"Quodpod",1,"CRP",6,39174.4921488543,4,1.5,0.59,10.1694915254237,2.54237288135593,"1"
"Quodpod",2,"CRP",2,39174.4921488543,4,0.5,0.59,3.38983050847458,0.847457627118644,"1"
"Canvas",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Davis",1,"CRP",0,0,0,0,0.59,0,0,"1"
"299-510-0007",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Castella",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Boola",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Gags",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Kinglake",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Yellowdindi",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Backdoor",1,"CRP",0,0,0,0,0.59,0,0,"1"
"300-503-0001",1,"CRP",0,0,0,0,0.59,0,0,"1"
"United",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Merger",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Troop",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Tarrango",1,"CRP",0,0,0,0,0.59,0,0,"1"
"Alfred",1,"CRP",0,0,0,0,0.59,0,0,"1"
