"site_ID","n_obs","Estimate","se","cv","lcl","ucl","df","model","species","survey"
"Boola",0,0,0,0,0,0,0,"GG_all","GG","3"
"Coliban",0,0,0,0,0,0,0,"GG_all","GG","3"
"Mohican_1",0,0,0,0,0,0,0,"GG_all","GG","3"
"Mohican_2",0,0,0,0,0,0,0,"GG_all","GG","3"
"Mohican_3",0,0,0,0,0,0,0,"GG_all","GG","3"
"Narbethong",0,0,0,0,0,0,0,"GG_all","GG","3"
"Quodpod",0,0,0,0,0,0,0,"GG_all","GG","3"
"Tarrango",0,0,0,0,0,0,0,"GG_all","GG","3"
"Yellowdindi",0,0,0,0,0,0,0,"GG_all","GG","3"
"300-503-0001",0,0,0,0,0,0,0,"GG_all","GG","3"
"Canvas",0,0,0,0,0,0,0,"GG_all","GG","3"
"Alfred",0,0,0,0,0,0,0,"GG_all","GG","3"
"Murrindindi",0,0,0,0,0,0,0,"GG_all","GG","3"
"209-502-0002",1,0.69582616298343,0.921053015739275,1.32368264480048,0.00148311170108478,326.458249057106,1.4831657435176,"GG_one","GG","1"
"297-806-0001",1,0.69582616298343,0.921053015739275,1.32368264480048,0.00148311170108478,326.458249057106,1.4831657435176,"GG_one","GG","1"
"299-510-0007",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"299-944-0002 (NAR)",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"300-910-0007",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"Babbington",1,0.69582616298343,0.921053015739275,1.32368264480048,0.00148311170108478,326.458249057106,1.4831657435176,"GG_one","GG","1"
"Backdoor",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"Castella",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"Gags",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"Ginters",2,1.39165232596686,1.4148152901502,1.01664421763334,0.0403780315879759,47.9641062281426,2.05097577162455,"GG_one","GG","1"
"Kinglake",4,2.78330465193372,2.28549875717259,0.821145739682045,0.327819336794124,23.6312624546031,3.40320290398266,"GG_one","GG","1"
"Mash",1,0.69582616298343,0.921053015739275,1.32368264480048,0.00148311170108478,326.458249057106,1.4831657435176,"GG_one","GG","1"
"Osborne",1,0.69582616298343,0.921053015739275,1.32368264480048,0.00148311170108478,326.458249057106,1.4831657435176,"GG_one","GG","1"
"Troop",3,2.08747848895029,1.86013196912398,0.891090365227842,0.155548979341994,28.0141114410626,2.69450256949765,"GG_one","GG","1"
"Boola",0,0,0,0,0,0,0,"GG_one","GG","1"
"Coliban",0,0,0,0,0,0,0,"GG_one","GG","1"
"Davis",0,0,0,0,0,0,0,"GG_one","GG","1"
"Merger",0,0,0,0,0,0,0,"GG_one","GG","1"
"Mohican_1",0,0,0,0,0,0,0,"GG_one","GG","1"
"Mohican_2",0,0,0,0,0,0,0,"GG_one","GG","1"
"Mohican_3",0,0,0,0,0,0,0,"GG_one","GG","1"
"Narbethong",0,0,0,0,0,0,0,"GG_one","GG","1"
"Quodpod",0,0,0,0,0,0,0,"GG_one","GG","1"
"Tarrango",0,0,0,0,0,0,0,"GG_one","GG","1"
"United",0,0,0,0,0,0,0,"GG_one","GG","1"
"Yellowdindi",0,0,0,0,0,0,0,"GG_one","GG","1"
"300-503-0001",0,0,0,0,0,0,0,"GG_one","GG","1"
"Canvas",0,0,0,0,0,0,0,"GG_one","GG","1"
"Alfred",0,0,0,0,0,0,0,"GG_one","GG","1"
"Murrindindi",0,0,0,0,0,0,0,"GG_one","GG","1"
"297-806-0001",3,2.28119586643635,1.66903313230015,0.731648323958909,0.0427619557340098,121.693558952626,1.49000125711474,"CRP_all","CRP","3"
"299-510-0007",2,1.5207972442909,1.32098776677484,0.868615308012853,0.0061605785409506,375.423224112638,1.31612708902264,"CRP_all","CRP","3"
"299-944-0002 (NAR)",1,0.760398622145452,0.903577047663851,1.18829390447135,0.000118465110181005,4880.81312444862,1.15276142292389,"CRP_all","CRP","3"
"300-910-0007",8,6.08318897716361,3.10975432277772,0.511204622189413,1.0935518927164,33.8394440888978,2.51288581245749,"CRP_all","CRP","3"
"Babbington",2,1.5207972442909,1.32098776677484,0.868615308012853,0.0061605785409506,375.423224112638,1.31612708902264,"CRP_all","CRP","3"
"Boola",1,0.760398622145452,0.903577047663851,1.18829390447135,0.000118465110181005,4880.81312444862,1.15276142292389,"CRP_all","CRP","3"
"Coliban",3,2.28119586643635,1.66903313230015,0.731648323958909,0.0427619557340098,121.693558952626,1.49000125711474,"CRP_all","CRP","3"
"Davis",2,1.5207972442909,1.32098776677484,0.868615308012853,0.0061605785409506,375.423224112638,1.31612708902264,"CRP_all","CRP","3"
"Mohican_1",11,8.36438484359996,3.89188653135072,0.465292619137271,2.1668828631591,32.287363106396,3.24426680756324,"CRP_all","CRP","3"
"Mohican_2",3,2.28119586643635,1.66903313230015,0.731648323958909,0.0427619557340098,121.693558952626,1.49000125711474,"CRP_all","CRP","3"
"Mohican_3",4,3.04159448858181,1.98455038517376,0.652470404133027,0.136368966789206,67.8401930497245,1.67427710501182,"CRP_all","CRP","3"
"Narbethong",6,4.56239173287271,2.56520850107763,0.562250821777297,0.515676944307939,40.3652297314173,2.07355246197739,"CRP_all","CRP","3"
"Quodpod",15,11.4059793321818,4.90080325956285,0.429669659819155,3.76756354041405,34.5306358155968,4.34695732626443,"CRP_all","CRP","3"
"Troop",2,1.5207972442909,1.32098776677484,0.868615308012853,0.0061605785409506,375.423224112638,1.31612708902264,"CRP_all","CRP","3"
"United",2,1.5207972442909,1.32098776677484,0.868615308012853,0.0061605785409506,375.423224112638,1.31612708902264,"CRP_all","CRP","3"
"Kinglake",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Castella",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"209-502-0002",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Backdoor",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Gags",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Ginters",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Mash",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Merger",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Osborne",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Tarrango",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Yellowdindi",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"300-503-0001",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Canvas",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Alfred",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"Murrindindi",0,0,0,0,0,0,0,"CRP_all","CRP","3"
"300-910-0007",3,2.42190906691516,2.21864624049973,0.916073303827907,0.272568090238691,21.5199201170953,3.92180300336934,"CRP_one","CRP","1"
"Babbington",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"Boola",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"Coliban",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"Davis",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"Mohican_1",4,3.22921208922021,2.77029123976636,0.857884574696773,0.487109044714891,21.4075489468061,5.15933365073708,"CRP_one","CRP","1"
"Mohican_3",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"Narbethong",4,3.22921208922021,2.77029123976636,0.857884574696773,0.487109044714891,21.4075489468061,5.15933365073708,"CRP_one","CRP","1"
"Quodpod",6,4.84381813383032,3.85301783375089,0.79545055724544,0.95474521962857,24.57469661147,7.74284343319881,"CRP_one","CRP","1"
"Troop",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"United",1,0.807303022305053,1.04169782749086,1.29034302945696,0.00692507433389207,94.112804917226,1.79609632379741,"CRP_one","CRP","1"
"Kinglake",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Castella",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"297-806-0001",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"299-510-0007",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"299-944-0002 (NAR)",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"209-502-0002",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Backdoor",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Gags",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Ginters",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Mash",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Merger",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Mohican_2",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Osborne",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Tarrango",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Yellowdindi",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"300-503-0001",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Canvas",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Alfred",0,0,0,0,0,0,0,"CRP_one","CRP","1"
"Murrindindi",0,0,0,0,0,0,0,"CRP_one","CRP","1"
